Purpose Code,Revised Purpose Code,diff purp code,Collateral Code,Revised Collateral Code,diff coll code,purp/coll diff,Property Type,Net Operating Income,Annual Debt Service,Appraised Value,SWAP?,State,Bank,Team,Region,Original             Balance,Net Current Balance,Unused Commitment,Open   Date,Date Maturity,Interest Rate,Guarantor?,Risk Code,Relationship ID,Division
83,83,match,8608,8608,match,match/match,Multifamily,,,,,PA,LAB,KIRK,SEPA,"5,854,700.00 ","4,551,650.00 ","1,303,050.00 ",10/28/15,10/28/40,3.85%,YES,4 ,20291,
83,84,diff,8612,8612,match,diff/match,Retail,,,,,PA,LAB,KIRK,SEPA,"2,385,000.00 ","2,386,003.54 ",0.00 ,11/10/15,11/10/40,3.75%,YES,W,12439,
83,83,match,8405,8405,match,match/match,Retail,,,,,PA,LAB,KIRK,SEPA,"75,000.00 ","74,905.07 ",0.00 ,08/25/16,11/10/40,3.75%,YES,W,12439,
83,83,match,8610,8609,diff,match/diff,Office,,,,,PA,LAB,KIRK,SEPA,"7,375,000.00 ","4,935,049.69 ","2,439,950.31 ",08/13/15,08/13/23,4.00%,YES,5 ,18976,
83,83 ,match,8612,8612,match,match/match,Retail,,,,,DE,FB,ROARK,DMV,"10,738,500.00 ","3,459,451.96 ","7,279,048.04 ",07/21/17,07/21/20,4.07%,YES,5,19945,
83,83 ,match,8607,8405,diff,match/diff,Retail,,,,,DE,FB,ROARK,DMV,"4,080,000.00 ","3,456,364.81 ","623,635.19 ",10/06/16,10/06/38,3.50%,YES,5,12539,
83,71 ,diff,8415,8416,diff,diff/diff,Retail,,,,,DE,FB,ROARK,DMV,"1,663,500.00 ","594,590.43 ",0.00 ,08/01/11,07/01/23,3.75%,YES,4,14318,
83,83 ,match,8600,8415,diff,match/diff,Special Purpose,,,,,DE,FB,ROARK,DMV,"22,000,000.00 ","10,293,879.27 ","11,706,120.73 ",03/28/17,04/15/29,4.09%,YES,5,24037,
83,71 ,diff,8608,8300,diff,diff/diff,Multifamily,,,,,DE,FB,ROARK,DMV,"5,662,500.00 ","5,090,930.58 ","571,569.42 ",01/17/17,01/15/37,4.37%,YES,4,12776,
83,83 ,match,8415,8300,diff,match/diff,Multifamily,,,,,DE,FB,ROARK,DMV,"9,035,000.00 ","8,790,869.37 ","118,049.49 ",12/09/15,01/09/37,3.89%,YES,4,12776,
83,83 ,match,8608,8608,match,match/match,Multifamily,,,,,DE,FB,ROARK,DMV,"12,975,000.00 ","2,047,419.03 ","10,927,580.97 ",10/27/16,11/01/26,3.83%,YES,4,6404,
83,83 ,match,8614,8608,diff,match/diff,Multifamily,,,,,DE,FB,ROARK,DMV,"1,536,000.00 ","524,540.14 ","1,011,459.86 ",10/27/16,10/27/26,4.25%,YES,4,6404,
83,71 ,diff,8103,8300,diff,diff/diff,Multifamily,,,,,DE,FB,ROARK,DMV,"3,800,000.00 ","3,784,209.00 ","1,900.00 ",09/15/16,09/15/36,3.85%,no,4,21854,
83,81,diff,8614,8608,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"3,620,000.00 ","2,265,301.70 ","1,354,698.30 ",04/12/16,04/15/43,4.25%,YES,5,9601,
83,71,diff,8200,8405,diff,diff/diff,Retail,,,,,PA,FB,MOWERY,CPA,"742,500.00 ","734,030.20 ",0.00 ,07/08/16,06/01/37,4.50%,YES,4,9690,
83,62,diff,8415,8415,match,diff/match,Special Purpose,,,,,PA,FB,MOWERY,CPA,"3,000,000.00 ","1,317,924.70 ","1,682,075.30 ",10/26/95,12/31/79,4.25%,no,4,9532,
83,83,match,8607,8406,diff,match/diff,Industrial,,,,,PA,FB,MOWERY,CPA,"1,694,000.00 ",0.00 ,"1,694,000.00 ",11/08/17,12/31/18,3.50%,YES,5,11830,
83,83,match,8607,8406,diff,match/diff,Industrial,,,,,PA,FB,MOWERY,CPA,"199,000.00 ",0.00 ,"199,000.00 ",11/08/17,05/15/28,3.50%,no,5,11830,
83,83,match,8607,8406,diff,match/diff,Industrial,,,,,PA,FB,MOWERY,CPA,"1,366,000.00 ","405,971.03 ","960,028.97 ",11/08/17,05/15/28,3.50%,YES,5,11830,
83,71,diff,8422,8405,diff,diff/diff,Retail,,,,,PA,FB,MOWERY,CPA,"11,800,000.00 ","10,447,894.33 ",0.00 ,11/03/11,12/20/37,4.10%,no,5,9532,
83,71,diff,8607,8402,diff,diff/diff,Hospitality,,,,,PA,FB,MOWERY,CPA,"26,500,000.00 ","26,500,000.00 ",0.00 ,11/09/15,11/09/20,3.60%,YES,5,18217,
83,81,diff,8608,8608,match,diff/match,Multifamily,,,,,PA,FB,MOWERY,CPA,"11,535,000.00 ","11,535,000.00 ",0.00 ,12/05/16,12/01/28,3.24%,YES,5,8253,
83,83,match,8612,8612,match,match/match,Retail,,,,,PA,FB,MOWERY,CPA,"867,535.04 ",0.00 ,"867,535.04 ",08/30/16,08/30/19,3.84%,YES,5,10003,
